File Name	Description	Page No.
Ako 	* Documents from 2004 - 2007	1
Ambassador Hotel 	* Meeting of the Beis Din with Mr Vickers - Background information (1st September 1988)	1
An Inspector Calls 	* Program on Channel 4 re the work of KLBD  Shomrim  (1997) (Rabbi Conway)	1
Beachcroft 1990 	 * KLBD contract 1990	1
Beis Din review 	"18th Oct. 2006:
General overview of Beis Din practice & procudures:
* Divorce 
* Conversion
* Recognition of foreign conversions 
* Jewish status 
* Marriages abroad 
* Dinei Torah 
* Otherfunctions undertaken by the Dayanim 
* Conference of European Rabbis 
*Dayanic interaction with members of the public
* Also filed: Review of the financial structure of the LBD  July 1994"	1
Beis Din guideline of kashrus of various foods & ingredients	"* NgSt, CaSt, Lactose, Vegetable fats, Shellac, Royal Jelly, Chitin, Emulsifiers, Ice Cream, Sweetners
* Method of production  of Casein
* Beis Din Ruling on Outside Hechsherim, Vegetable Fat, Emuslifiers & stabilizers
* Caramels, Chocolate, Coatings, Icings & Fillings, Peanut Butter, Process Foods, Salad Dressing, Salt, Sherbet, Sugar confectionery, Synthetic cream, Syrups, Whipped toppings, Whipped desserts
* Use of Gelatin as an adhesive, as a binder
* Gluten Free Flour Mix
* Beis Din Ruling on Microwave ovens - + on Pesach + Kashering"	1
Bestfoods/Uniliver 	"1995-2003 
* Kosher Certificates 
* Factory visit to Burton CPC March 1995
* Factory visit March 1995 - Bovril / Marmite 
* Factory visit 2002, 2003 - Best Foods (Rabbi Dome)
* Yeast Extract kosher Approval 
* Review of ingredients concerning Burton Plant (2003)"	1
Biotechnology & kashrus 	"* Biotechnology & Food Technology 
* Principles and Processes in Industrial Fermentations 
* Kashrus & the Ingredients and Processes of Biotechnology"	1
Blooms 	* Court 1998	1
Bugs		1
Report & articles re various products		1
Carmine 		2
Carmelli 	"* Application for Licence for 1988 
* Condolence letter (1988)"	2
Cheese 	"* Letter from the Chief Rabbi of Ireland re Kosher cheese (1978)
* Technical Bulletin: Catilac culture media introduction; laboratory studies; culture activity & bacteriophage resistivity; cheese manufacture studies; comparison of culture used per 35,000 pound of milk; quality standards; packaging
* Report from Societe Rapidase on the production of cheese
* Letter from Rabbi Conway to Rabbi Gutnick re the production of Cholov Yisroel cheese at Bega Co-Op under supervision of KLBD
* Report on Blue 'Cheese' Mould Culture Problem 
* DMK Hochenwestwdt 09 January 2014 - Soft cheese report 
* Report: Inspection of Milk Products - Polmlek - by Rabbi Akiva Padwa 8th February 2018
* Arla Foods amba - White Mould and Brie cheeses (cheese production aborted)
* Inspection Reports Solvin Dairy, Troldhede Dairy
* Passover butter production"	2
Chief Rabbinate of Israel 	"* Correspondence with Chief Rabbinate of Israel
* 'Flying Kashrus' article about El Al kashrus (20.12.1996)
* Whole mushrooms approved by Rabbanut (R. Conway query) 
* Answers to queries re Oak Lodge to Rabbi Landau (1993), Quaker Oats/Cadburies, Sugar from British Sugar
* Answer to Rabbi Likor's queries re Band Ovens, Cadbury's, Fishfingers, Quaker Oats (22nd January 1990)
* Fax to Rabbi Yitshak Jakobovitch re Ryvita and our logo 
* Letter to Rabbi Yitshak Jacobovitch re the Beis Din's three categories of hechsherim (15th December 1987)
* Kosher Certificate and correspondence for Instant Coffee supplied by Brash Brothers LTD (1991)
* Copy of article 'Food Industries Manual': Chocolate, Chromatography, Absorption chromatography 
* Form for Kosher Skins"	2
Cigarettes - Cigars		2
Conjoint relating to Pesach 1988 - 2002	"* Hackney & East London Synagogue 
* Spanish & Portuguese Jews' Congregation
* Distribution of Matzah & Pesach Parcels
* Conjoint Income & Exp 2001
* Notice to the public regarding Rakusen's Matzos in JC (2000)
* Correspondence re donations for that time of year
* Conjoint Passover Flour Committee - Shemura Production for Passover 1989-1994
* From Rabbi S Amor (Rakusen Foods) letter of intention to bake for Passover 5754 shemura Matzo
* List of people notified re shemura Baking (1993)"	2
Dayan Lerner	* Dayan Lerner relocation	3
EL AL	"* El Al Heathrow kitchen (1989): background, problems, separation of Milk & Meat
* Kashrus supervision fees 
* Beis Din decision regarding serving bread rolls with meals on El Al Airlines (1976)
* Rabbinate queries U.S. Kashrut"	3
Certification Process Project  	"* Factory Review meetings 
* Chinese companies"	4
Factory Reviews	"* Chinese Companies (166 factories)
* List of companies with type of products"	4
Gelatine project 	"* Lapi Gelatine: overview, plant & ingredient inspection and conclusion
* Fax from Lapi Gelatine answering Akiva Padwa's questions re chemicals, bovine skins, silos, de-freezing process
* Kosher Fish Gelatin (Lapi - Italy) - general overview of requirements for manufacturing kosher gelatin (Betzalel Schultz)
* Various other reports of Lapi Gelatine in Hebrew
* Lapi Gelatine (Neto Israel) initial Inspection Report (23.06.03) - inspected by Akiva Padwa
* Report from Rabbi Silver
* Uruguay Gelatine: update memo on the collection of hides for gelatine production; the problem with fleshing the off-cuts; salting (koshering) the hides in the tannery; segregation and trimming of hides in other slaughter houses; marking processed kosher hides for dispatch to Italy; requirements if whole hides are used; monitoring the activities of the Mashgichim
* Kladil Tannery - Florida, Uruguay - London Beis Din daily report and plans for processing kosher hides (10.07.03)
* Beis Hashchita in Tacuarembo, Uruguay - plans for segregation and preparation of kosher hides (11.07.03)
* Frigorifico San Jacinto - Nirea SA, Uruguay (14.07.03) (Akiva Padwa)
* Frigo Export Azul, Argentina - new Beis Hashchita and arrangements for kosher hides (23-25 August 2004)
* Do animal hides need koshering by salting? - based on discussions with Dr Monk of Sydney"	4
Kavana		4
Spielsinger & Abraham / Wagner / Kinloss		4
Hillel House 	"* Kashrus Certificates for Bnei Brith Hillel Foundation 
* Salary review (1979) 
* Supervision fees (1985, 1987)
* File note Hillel Restaurant 
* Report by Michael Aaron to Hillel House December 1996
* Various correspondence"	5
Holland 		5
Hindquarters 	"* Statement by the Ecclesiastical Authorities regarding the importance of porging - too much hindquarter meat leaves the shops unporged 
* Letter to the Jewish Chronicle by Chanoch Kesselman (Senior Menaker Kashrus) regarding the cost of bringing back porging (June 2000)
* Article (18th October 1934) on the sale of hindquarters meat (J H Hertz), followed by Action & Reaction
* Article by Rabbi Conway 'Avoiding Hindquarters Meat - An Ancient Tradition'
* Response by Michael Gross - 'Not So Much A Rump Steak Too Far, More A Faux Fillet'
* Sephardi Kashrut Authority (4th July 2000) letter to all Ministers of the United Synagogue
* Special Meeting of the Board (27th March 1941) re sale and supervision of hindquarter meat
* Anonymous letter from Sephardi Mother
* Article from Rabbi Conway (US Magazine) 'Hindquarters: Facts and Fiction'
* Memorandum re licensing of kosher butchers by Shechita Board & Beis Din (1948)
* Laws of the Board for Administering the Affairs of Shechita (5564-1804)
* Points of discussion re agreement between the Opperrabbinaat Voor Netherland and the London Beth Din for a joint Kashrus Commission
* Kievet"	5
Honey		5
Innocent drinks 	* KLBD looking into the ingredients (2007)	5
Isinglass		5
Israel 	"* Meeting with Rishon Le Zion - Rabbi Bakshi Doron 
* Letter to Mr Yaakov Neeman (Herzog, Fox & Neeman) from Rabbi Conway re Israel Chief Rabbinate Imports Department (1990) - 27 pages with appendix
* Beis Din withdrawing its Hechsher from Willie Foods 
* Request to renew Kashrus Certificate for Lossie Seafoods"	5
Kashrus Commission 	"* Receipt and payment accounts year ended 31.12.1983
* Minutes of meeting of the council held at Adler House, Wednesday 25th June 1986
* Hotel Project (2014)
* Report of meeting in LBD (Tavistock Square) regarding Shomrim - Dayan Ehrentreu, Dayan Lerner, Dayan Berger, Rabbi Silver, Rabbi Ehrentreu
* Receipts and payments account (1982)
* Kashrus Commission Constitution"	5
Kashrus for the community 		5
Kashrus List (Confectionary) 1962		5
Rabbi Shindler / Marriage	Meeting re roles and position for Rabbi Shindler (28th July 1905)	5
Marmite 	Teshuvo re Marmite (Rabbi Saadia Amor)	5
Halacha Files 	* The building and Maintenance of Mikvaot	6
Newspaper articles (& copies of articles)	"* 'Hypocrisy of Kosher food labels' (Lancashire Evening Telegraph) by Sylvia Noble
* KLBD press release 'Look for the LBD Logo'
* 'Kosher label first for Ryvita Co' (The Grocer 12.04.1991)
* 'Eating by numbers' (The Progressive Newsagent) 5.07.1991
* 'The margarines that are kosher' (The Glasgow Jewish Telegraph) 29.01.1993
* 'Marmite retains Quality Approval'
* 'Over 50 firms to back new kosher symbol' (The Grocer) 12.01.1991
* 'Sign of times for clean cuisine - KLBD' (Daily Telegraph) 21.01.1991
* 'Ten Mythical Mitzvot' (Jewish Chronicle Passover Supplement) 8.03.1991
* 'Board of Deputies Passover Prices Survey 1991'
* 'Royal chocs are kosher - official' (Bendicks) (Jewish Chronicle) 19.04.1991
* 'On Religious grounds'
* 'Grodzinski seeks buyer' (Jewish Chronicle) 15.12.1991
* 'Kosher cop on the beat'"	6
Norwood Ravenswood		6
Marketing 	"* Trademark Proposal 
* Advice from Jeremy Jacobs re the Kosher stall at exhibition (2010)"	7
MBD 	* Correspondence between Manchester Beis Din and London Beis Din re going forward with MBD (2018)	7
Medicine & Kashrus 	"* Article by Mr Adler - Gateshead: products to be avoided and list of permitted products; medicines general points
* Report: The Kashrus of Medical Ingredients - liquid medicines
* Glycerin: how it is manufactured; the kashrus of glycerin
* Gelatin: what it is; how it is manufactured; the kashrus of gelatin
* Lactose: what it is and how it is made; kashrus of lactose
* Stearic acid & its derivatives
* Emulsifiers
* The principle of Chatzi Shiur
* Administration of medicines forbidden by Rabbinical decree to a person whose life is not in danger
* Administration of medicines forbidden mid'rabonon to a young child
* The halachic status of consumption of forbidden substances in an unusual manner
* Applications of Bitul to medication and the rules pertaining to it
* Bitul of gelatin in tablets, lactose in tablets, active ingredients
* Summary and practical advice: liquid preparations, capsules, tablets"	7
MISC 	"* Kingsbury Mikveh report by Rabbi Conway 08.06.06
* Various letters 
* Milking mares in China & mare's milk processing (pictures)
* Milk collection in rural India (pictures)
* Rabbinical Conference Moscow July 2001 (pictures)
* Email from Alan Koch to Honorary Officers regarding book sale (22.04.2000)"	7
Milk		7
Obituaries - Memorial Address		7
Overview of Kashrus Division current & proposed procedures		7
